从旷视到原力灵机，唐文斌的第二次创业
【晚点聊 LateTalk】
[唐文斌] 所以就是说其实武装了自己

[唐文斌] 就变成了一个可以去制作很多工具的一个人

[唐文斌] 所以我们就觉得整个计算机科学

[唐文斌] 其实是非常的有意思的

[唐文斌] 那对

[唐文斌] 所以那我们当时候这个保送的时候

[唐文斌] 其实在清华里面

[唐文斌] 是可以选专业的

[主持人] 但是06年上的本科对吧

[唐文斌] 对

[唐文斌] 但那个时候就是应该绝大部分的同学

[唐文斌] 大家也都没想都觉得是说

[唐文斌] 我默认就应该去计算机系

[唐文斌] 所以我们所有人都去了计算机系

[主持人] 就我之前和应齐聊的时候

[主持人] 他说他在清华读本科的时候

[主持人] 因为你们是同班同学吗

[主持人] 他说他不是那种成绩最好的学霸

[主持人] 他说你是真的学霸了

[唐文斌] 他是他是他是文艺

[唐文斌] 他走文艺路线

[主持人] 对对他因为他有去就是跳拉丁舞什么

[主持人] 他是你们清华国标队的队员

[唐文斌] 对

[主持人] 然后包括你在

[主持人] 嗯

[主持人] 大学的时候你也继续有去参加挺多竞赛的

[唐文斌] 对

[唐文斌] 嗯

[主持人] 像Topcounter

[主持人] 然后ACM等等

[唐文斌] 是是

[主持人] 因为我觉得高中的时候很多人去做竞赛

[主持人] 他其实

[主持人] 对大多数人来说

[主持人] 他有一个相对使用的目的

[唐文斌] 你说保送

[唐文斌] 对

[主持人] 然后大学继续做这个事

[主持人] 那应该确实是特别喜欢

[唐文斌] 对我觉得就好玩

[主持人] 你说的那种刺激和正反馈

[主持人] 你可以讲讲一些什么具体的

[主持人] 比如说哪些比赛会给你这种感觉

[唐文斌] 我觉得其实很多比赛其实都会

[唐文斌] 我们去参加一个编程竞赛

[唐文斌] 我们都是想赢的

[唐文斌] 然后Topcounter里面

[唐文斌] 还有一个很有意思的

[唐文斌] 一个一个环节是叫做challenge

[唐文斌] 什么意思呢

[唐文斌] 就是说他比赛是一个半小时

[唐文斌] 然后大家把那个程序都提交之后

[唐文斌] 我们可以在同一个房间里

[唐文斌] 可以看别人的程序

[唐文斌] 有五分钟时间

[唐文斌] 你可以看是说别人提交的程序

[唐文斌] 你认为如果他是错的

[唐文斌] 你可以提交一组数据

[唐文斌] 让他输出一个错误的答案

[唐文斌] 你就可以把他的成绩变成零分

[唐文斌] 你就可以加50分

[唐文斌] 有这么个过程

[唐文斌] 我特别喜欢那个环节

[唐文斌] 那那其实又是一种非常有挑战性的

[唐文斌] 但是又需要

[唐文斌] 就是每个人的那个程序

[唐文斌] 只能被challenge一次

[唐文斌] 就是说如果比如说

[唐文斌] 我把你的分数

[唐文斌] 那个那个程序给干掉了

[唐文斌] 那别的人就不能再来干掉你的

[唐文斌] 那个那个那个程序了

[唐文斌] 所以就是说他还得比手速

[唐文斌] 比观察力

[唐文斌] 所以这是一种非常强烈的

[唐文斌] 这种这种在压力下的

[唐文斌] 但又同时需要去思考

[唐文斌] 和形成结果的这么一个方式

[唐文斌] 所以我觉得就大家非常enjoy这个过程

[主持人] 而且这个对抗性很强

[唐文斌] 对是的

[主持人] 那你有记得自己最爽的一次是

[主持人] 比如说怎么抢到了多少分

[主持人] 然后你干掉多少对吗

[唐文斌] 对我们那个时候一个房间应该是

[唐文斌] 就是一般一个房间

[唐文斌] 是20个人嘛

[唐文斌] 我那天有一天是

[唐文斌] 然后一个比赛topcaller是三道题

[唐文斌] 我有一次是在一个比赛里边

[唐文斌] 那一道题啊

[唐文斌] 20个人全部都提交了

[唐文斌] 并且我认为他们都有一个非常小的trick

[唐文斌] 其实都没有发现

[唐文斌] 然后我把那19个人全部都challenge掉了

[唐文斌] 所以我觉得那次印象非常深

[唐文斌] 就是我靠那个challenge就拿了950分

[主持人] 就是19乘以50

[唐文斌] 对

[主持人] 这个都是会放到你累积的

[主持人] 这个分数榜单里的对吧

[主持人] 因为topcaller应该是一局

[主持人] 就是它是一个累积持续的排行榜

[唐文斌] 对它是那个每次比赛

[唐文斌] 它会给你的那个rating可能会提升一点降低一点

[唐文斌] 今天那个很多那个AI的这个benchmark里面

[唐文斌] 有个叫code force的benchmark

[唐文斌] 大家其实也是在评测这么个东西嘛

[主持人] 罗天成也很喜欢打这个比赛是不是

[唐文斌] 对

[主持人] 你们是老乡他也浙江吗

[唐文斌] 对我第一次参加那个心理学竞赛

[唐文斌] 就是跟罗天成一起的

[唐文斌] 当时那个他高二我初三

[唐文斌] 所以我俩都是浙江队的

[唐文斌] 那个时候不分出中高中

[唐文斌] 就是全国赛的时候已经不分出中高中

[主持人] 就都是一样的题

[唐文斌] 对一样的题

[唐文斌] 所以我俩是那一届是同一年浙江队的

[唐文斌] 当时

[主持人] 你当时还认识了哪些竞赛的

[主持人] 你觉得还挺好玩的同学

[主持人] 包括现在还有一些有交流的

[唐文斌] 对我觉得其实挺多的

[唐文斌] 就是说那今天其实很多圈子里面

[唐文斌] 很多人都是以前搞竞赛的

[唐文斌] 包括像阿里的蒋凡

[唐文斌] 我们当年其实很多年前

[唐文斌] 也都是在论坛上一起一起关税的

[唐文斌] 然后罗天成也是

[唐文斌] 就是我们公司里面

[唐文斌] 其实当然很多人了对吧

[唐文斌] 然后包括其实

[唐文斌] 比如像kimi里边的周星宇

[唐文斌] 他原来也是这个搞这个竞赛的

[唐文斌] 比如王小川

[唐文斌] 他是很早年

[唐文斌] 也是搞竞赛

[唐文斌] 而且他也当过那个怪类的教练

[主持人] 对因为后面你自己去当过

[主持人] 这个国家队的教练

[唐文斌] 我们是在本科期间

[唐文斌] 因为他这个其实是个学生的义务劳动

[唐文斌] 对就是说那个计算机学会

[唐文斌] 因为需要有些学生工作

[唐文斌] 因为从整个的这个比赛的组织

[唐文斌] 是整个计算机学会来组织的

[唐文斌] 但是中间有的命题

[唐文斌] 主要是命题相关的一些工作

[唐文斌] 那这个大部分

[唐文斌] 其实是由学生委员来做的

[唐文斌] 所以我从大二开始

[唐文斌] 就跟另外的一位同学叫胡伟栋

[唐文斌] 是比我大一级的

[唐文斌] 也是一个IY的金牌

[唐文斌] 然后呢

[唐文斌] 我俩一起在牵头搞这个

[唐文斌] 这个这个命题工作

[唐文斌] 我们搞了好多年

[唐文斌] 我是从07年到13年

[唐文斌] 然后13年之后

[唐文斌] 我们就那个交给了另外一位同学

[唐文斌] 然后来整体的来组织这个事

[主持人] 那相当于你创业两年之后

[唐文斌] 还做了两年的教练

[唐文斌] 还做了两年

[唐文斌] 是的

[主持人] 那是因为你特别热爱吗

[主持人] 因为创业应该挺茫茫的

[唐文斌] 对就很好玩

[唐文斌] 对我们也很enjoy这个过程

[主持人] 这和你自己打比赛的区别是什么

[主持人] 就是你去出题和你做题的

[唐文斌] 是这样的

[唐文斌] 出题比做题要难得多

[唐文斌] 一个好的出题

[唐文斌] 并不是说这个题有多难

[唐文斌] 或者多简单

[唐文斌] 它核心要的是区分度

[唐文斌] 我们要把参加比赛的200个同学

[唐文斌] 把大家的分数能够拉开

[唐文斌] 所以整个题目就是说

[唐文斌] 如何能够去找到一个好的setting

[唐文斌] 考察了点又足够的有趣

[唐文斌] 跟以往的题又不那么的一样

[唐文斌] 要有新意

[唐文斌] 所以出一个题是非常的费力的

[唐文斌] 我们做题可能只需要一两个小时

[唐文斌] 但出一个题可能需要用一周的时间

[主持人] 我觉得这有点像

[主持人] 现在做AI里的有一个环节

[主持人] 就是制定benchmark

[主持人] 做evaluation的这个过程

[唐文斌] 所以其实定evaluation

[唐文斌] 这个非常难

[唐文斌] 包括今天巨神的evaluation

[唐文斌] 其实也是一样

[唐文斌] 那到底什么是一个好的benchmark

[唐文斌] 如何能够让这个benchmark有区分度

[唐文斌] 能够去评测出

[唐文斌] 各个不同的维度的一些东西

[唐文斌] 其实是需要非常认真的思考

[唐文斌] 和机器化的设计的

[主持人] 那这个里面有一些什么

[主持人] 创能或者方法吗

[唐文斌] 我觉得这个很多时候

[唐文斌] 其实还是一些经验的判断

[唐文斌] 你自己得是一个好的player

[唐文斌] 你才能够是一个好的judge

[唐文斌] 如果你自己不是一个player

[唐文斌] 你是做不了一个好的judge的

[唐文斌] 因为你对这个东西没有体感

[唐文斌] 所以今天AI里面的很多benchmark

[唐文斌] 最早的模型

[唐文斌] 相关的benchmark

[唐文斌] 是open editing的

[唐文斌] 今天其实巨神智能的benchmark

[唐文斌] 我们是最早的一步

[唐文斌] 跳出来去做

[唐文斌] 我觉得其实也是类似

[唐文斌] 你得是一个好的选手

[唐文斌] 你才有可能是做一个好的裁判

[主持人] 那回到上学的时候

[主持人] 因为你当时本科的时候

[主持人] 就和硬气认识了吗

[主持人] 当时对他是什么印象

[唐文斌] 我跟硬气其实上那个本科的时候

[唐文斌] 一开始其实没有那么熟

[主持人] 一个班多少人了

[唐文斌] 我们班非常神奇

[唐文斌] 我们班是一个没有女神的班

[唐文斌] 我们班一共27个男生

[唐文斌] 对 在清华里面

[唐文斌] 是一个非常神奇的班

[唐文斌] 因为我们那一届的咬班

[唐文斌] 是从大一到大二

[唐文斌] 在清华里面再考了一次试

[唐文斌] 所以就是我们是大二

[唐文斌] 他是原来是自动化系的

[唐文斌] 我是计算机系的

[唐文斌] 所以我们就相当于大二的时候

[唐文斌] 就是大家重新来到了

[唐文斌] 一个新的班级

[唐文斌] 然后因为那一年

[唐文斌] 那个清华的宿舍不够用

[唐文斌] 所以我们还不住在一栋楼

[唐文斌] 熟悉来是有两个原因

[唐文斌] 第一个就是

[唐文斌] 我们后来多去了MSI实习

[唐文斌] 渥然亚运院

[唐文斌] 对 然后他当时是跟着孙健

[唐文斌] 就是在做人脸相关的一些工作

[主持人] 那是哪一年了

[唐文斌] 那是应该是在08年09年

[主持人] 就是你们大三大四左右的时候

[唐文斌] 对 然后我是在

[唐文斌] 他在三楼

[唐文斌] 他在四楼

[唐文斌] 然后我是在另外一个组里面

[唐文斌] 我是跟着张磊跟蔡瑞

[唐文斌] 蔡瑞现在是在小米

[唐文斌] 然后我当时在做图像搜索

[唐文斌] 然后所以我们

[唐文斌] 就是在MSI里边

[唐文斌] 我俩就经常也一起碰一碰

[唐文斌] 讲讲看看他那边在做什么

[唐文斌] 我这边在做什么

[唐文斌] 因为也有一些跟

[唐文斌] 这个都是跟图像相关的

[唐文斌] 所以交流的还挺多

[唐文斌] 我觉得这是一个

[唐文斌] 这个熟悉来的一个奇迹

[唐文斌] 然后第二个呢

[唐文斌] 就是我们在大四的时候

[唐文斌] 清华有个学生节

[唐文斌] 就是大家类似去表演一下节目

[唐文斌] 然后

[唐文斌] 这个热闹热闹

[唐文斌] 有这样一个活动

[唐文斌] 然后我们那一年

[唐文斌] 我们班里边排了一个剧

[主持人] 27个人排了一个剧

[主持人] 全部都是男生

[唐文斌] 对

[唐文斌] 演什么了

[唐文斌] 演了个小品

[唐文斌] 应期是导演

[唐文斌] 当然应期从国标队

[唐文斌] 也请了个女生过来

[唐文斌] 一起来客串了一下

[唐文斌] 反正我觉得那次

[唐文斌] 对他印象就非常深

[唐文斌] 因为就是导演这个工作

[唐文斌] 其实还是

[唐文斌] 然后也希望所有的同学

[唐文斌] 都可以参与进去

[唐文斌] 所以就做了一个

[唐文斌] 非常复杂的剧本

[唐文斌] 然后呢

[唐文斌] 这个我们的这个剧

[唐文斌] 既温馨也搞笑

[唐文斌] 所以那个过程中

[唐文斌] 我就觉得

[唐文斌] 他很厉害

[唐文斌] 很有组织力

[唐文斌] 是的

[主持人] 你们27个同学都参加表演了

[唐文斌] 基本都参加了

[唐文斌] 我应该就是属于路人角色之一

[唐文斌] 所以就是

[唐文斌] 我觉得这两件事情上

[唐文斌] 就是第一呢

[唐文斌] 我们在一些这种科研工作上

[唐文斌] 我们互相有很多的

[唐文斌] 这个讨论交流

[唐文斌] 然后呢

[唐文斌] 第二呢

[唐文斌] 就是这个

[唐文斌] 这个这个

[唐文斌] 班剧的这个事情吧

[唐文斌] 我觉得就是

[唐文斌] 也拉近了大家的这个

[唐文斌] 这个距离吧

[唐文斌] 所以我们后来就是说

[唐文斌] 毕业前我们就约着说

[唐文斌] 那有机会要一起创业

[主持人] 你们毕业前

[主持人] 你觉得是本科还是

[唐文斌] 本科毕业前

[主持人] 09年

[唐文斌] 我们后来想创业是

[唐文斌] 反正也有几个接缘巧合吧

[唐文斌] 其实很早就约着说

[唐文斌] 因为他也是在做图像嘛

[唐文斌] 我也在做图像嘛

[唐文斌] 所以

[唐文斌] 那时候我们也

[唐文斌] 不怎么讲AI这个词

[唐文斌] 对吧

[唐文斌] 当时还是讲

[唐文斌] Machine Learning

[唐文斌] 很早

[唐文斌] 机器学习那会儿

[唐文斌] 对对

[唐文斌] 讲讲Computer Vision

[唐文斌] 对吧

[唐文斌] 然后我们就讲的是说

[唐文斌] 其实

[唐文斌] 计算机视觉

[唐文斌] 一定是个很有用的东西

[唐文斌] 我们觉得就未来

[唐文斌] 机器人都需要眼睛

[唐文斌] 都需要看到这个世界

[唐文斌] 那视觉就是一个

[唐文斌] 让机器人看懂

[唐文斌] 这个世界的一种方式

[唐文斌] 所以我们觉得是说

[唐文斌] 未来

[唐文斌] 有机会可以一起创业

[唐文斌] 但是创什么呢

[唐文斌] 反正也

[唐文斌] 不知道对吧

[唐文斌] 那我说这个

[唐文斌] 引起呢

[唐文斌] 先去国外上两年书

[唐文斌] 我们先去什么

[唐文斌] 去Google啊什么的

[唐文斌] 去工作工作

[唐文斌] 那么说有机会

[唐文斌] 再一起约着创业吧

[唐文斌] 对吧

[唐文斌] 然后我当时呢

[唐文斌] 其实在

[唐文斌] 这个清华还读了个Master

[唐文斌] 然后是

[唐文斌] 我是唐杰的学生

[唐文斌] 上次我们聊过

[唐文斌] 你说你是他第一个学生

[唐文斌] 对我是唐杰的第一个学生

[唐文斌] 是的

[唐文斌] 我之所以成为他第一个学生

[唐文斌] 是因为那时候

[唐文斌] 那个唐杰老师刚升副教授

[唐文斌] 所以他刚刚才具有招生的资格

[唐文斌] 每年只能招一个人

[唐文斌] 所以那个第一个人是我

[主持人] 你为什么当时想选唐老师

[唐文斌] 对

[唐文斌] 我们当时也上了

[唐文斌] 选了一些不同的课嘛

[唐文斌] 我们就当时就是说

[唐文斌] 觉得唐杰老师非常的sharp

[唐文斌] 就是对很多问题

[唐文斌] 其实是有非常这个深的洞见

[主持人] 唐老师当时也是在这个

[主持人] Kaig实验室是吗

[唐文斌] 对

[主持人] 他那会就在

[主持人] 他们那边应该是做图计算相关的

[唐文斌] 对

[唐文斌] 这个非常有意思

[唐文斌] 是这样

[主持人] 他后来怎么又和计算机视觉

[主持人] 和图像怎么

[唐文斌] 对

[唐文斌] 他其实没搞视觉

[唐文斌] 是这样

[唐文斌] 就是我在那个

[唐文斌] 我们实验室里边

[唐文斌] 我还是做的是Data Mining

[唐文斌] Data Mining

[唐文斌] 数据挖掘

[唐文斌] 对数据挖掘

[唐文斌] 所以我那个

[唐文斌] 我其实在研究生期间

[唐文斌] 本科期间其实发的一些文章

[唐文斌] 都是跟Data Mining相关的

[唐文斌] 所以我们主要在做

[唐文斌] 社交网络上的数据挖掘

[唐文斌] 跟唐老师一起

[唐文斌] 我们就做了很多这方面的工作

[唐文斌] 后来呢

[唐文斌] 就是中间有段时间

[唐文斌] 唐杰老师学术休假了一下

[唐文斌] 他去国外待几个月

[唐文斌] 他说你要不去MSIA待一阵子吧

[唐文斌] 然后我就去了MSIA

[唐文斌] 然后我去的那个组呢

[唐文斌] 叫Web Search and Mining

[唐文斌] 其实是做文本的

[唐文斌] 然后我去了之后

[唐文斌] 第一天

[唐文斌] 我的那个mentor就跟我说

[唐文斌] 我们组改了个名字

[唐文斌] 我们组改成叫Social Media Search

[唐文斌] 就是做那个社交媒体搜索

[唐文斌] 他说我们接下来

[唐文斌] 我们原来是做Text Mining

[唐文斌] 我们现在开始做Image Search了

[唐文斌] 他说你还干不干

[唐文斌] 我说来都来了

[唐文斌] 这个再换个组也很麻烦对吧

[唐文斌] 然后我觉得也机缘巧合

[唐文斌] 开始做Vision

[唐文斌] 我们当时做的这个东西

[唐文斌] 就跟那个Text Mining

[唐文斌] 就没什么关系了

[唐文斌] 所以我在那个MSIA

[唐文斌] 做的那篇工作叫

[唐文斌] 就是用一些图片里面的

[唐文斌] 一些上下文的信息

[唐文斌] 去做加强图像搜索的这个能力

[唐文斌] 后来这个能力

[唐文斌] 应该还被迫着到Bing里面去

[唐文斌] 就做图像搜索

[唐文斌] 就是以图搜图的这样的一些

[主持人] 所以按照你们本来的计划是

[主持人] 当时硬气在美国

[主持人] 在哥伦比亚读博士

[主持人] 然后你在这边在清华

[主持人] 唐老师这边读硕士

[主持人] 包括你们可能想工作一段时间

[主持人] 就在创业

[主持人] 但实际上后来的是

[唐文斌] 后来怎么个

[唐文斌] 对你们很快就开始创业了

[唐文斌] 后来是这样的

[唐文斌] 我就是那时候

[唐文斌] 机缘巧合的点是这样

[唐文斌] 当时那个Kindect非常火

[唐文斌] 我不知道你记不记得

[唐文斌] 就是那个大概可能11年前后

[唐文斌] 就是那个体感交互游戏机

[唐文斌] 非常的火

[唐文斌] 那个Xbox 360

[唐文斌] 然后加了一个体感交互的这个东西

[主持人] 就是你可以拿着一个

[唐文斌] 切西瓜

[唐文斌] 不用手柄

[唐文斌] 就是就用人体操控

[唐文斌] 然后就比如说你手去切西瓜

[唐文斌] 就这些玩意儿

[唐文斌] 然后那个时候的那个体感交互游戏

[唐文斌] 非常火

[唐文斌] 这是一个背景

[唐文斌] 然后第二呢

[唐文斌] 就是我阿姨在那一年的时候

[唐文斌] 送了我一个iPhone4

[唐文斌] 我觉得iPhone4是个非常伟大的产品

[唐文斌] 你说那年是10年

[唐文斌] 应该是10年的这个下半年了

[唐文斌] 就是反正已经快到11年的时候了

[唐文斌] 然后呢

[唐文斌] 为什么是iPhone4

[唐文斌] 这个产品很牛逼呢

[唐文斌] 就是它是历史上

[唐文斌] 手机上第一次出现前置摄像头

[唐文斌] 我们当时就想能不能够把

[唐文斌] 这种Kindect的这种

[唐文斌] 游戏体验搬到手机上面

[唐文斌] 因为当我们手持

[唐文斌] 比如说我这么手持手机的时候

[唐文斌] 这不是这个摄像头

[唐文斌] 我其实是可以看到我对吧

[唐文斌] 那我既可以看到我的脸

[唐文斌] 我也可以看到

[唐文斌] 比如说我手在这里

[唐文斌] 也可以做一些动作对吧

[唐文斌] 所以我们觉得是说

[唐文斌] 这里面其实是通过

[唐文斌] 计算机视觉的能力

[唐文斌] 是能够做一些这种

[唐文斌] 体感交互的产品出来的

[唐文斌] 然后当时第三个trigger是说

[唐文斌] 当时有很多的独立开发者

[唐文斌] 其实也挣到了不少钱

[唐文斌] 什么莫及天气

[唐文斌] 就是有很多的这种

[唐文斌] 这种独立开发者的这种APP

[唐文斌] 其实也挣到很多钱

[唐文斌] 我们就说

[唐文斌] 我们自己一起来做个游戏

[唐文斌] 然后我们去挣点钱

[唐文斌] 然后最早是我跟殷琪

[唐文斌] 我们两个人

[唐文斌] 就说我们俩各投资一台MacBook

[唐文斌] 就是以前都用的是Windows电脑

[唐文斌] 然后我们就开始做这个游戏

[唐文斌] 后来发现两个人马力不足

[唐文斌] 然后我们就把杨木拉了进来

[唐文斌] 然后我们就三个人

[唐文斌] 就开始做了这个游戏

[唐文斌] 然后那个游戏当时还

[唐文斌] 就是那个做了一个叫

[唐文斌] Cruise Coming

[唐文斌] 乌鸦来了

[唐文斌] 对那个游戏

[唐文斌] 然后

[唐文斌] 当时还

[唐文斌] 那个下载量还挺大的

[主持人] 对当时应该是没有什么推广

[主持人] 然后它一度是到

[主持人] 苹果App Store免费榜的前三

[唐文斌] 对是的

[主持人] 但实际上是和矿石之后的业务

[主持人] 差别挺大的

[唐文斌] 对但矿石刚成立的时候

